,player_id,player,year,team_id,draft_pick,height_no_shoes,height_with_shoes,wingspan,standing_reach,vertical_max,vertical_max_reach,vertical_no_step,vertical_no_step_reach,weight,body_fat,hand_length,hand_width,bench,agility,sprint,season
84,203098,John Jenkins,2012,1610612752,23.0,75.25,76.25,80.5,98.0,36.5,134.5,30.5,128.5,212.0,7.1,9.0,9.0,10.0,11.36,3.37,2018
85,203098,John Jenkins,2012,1610612764,23.0,75.25,76.25,80.5,98.0,36.5,134.5,30.5,128.5,212.0,7.1,9.0,9.0,10.0,11.36,3.37,2018
86,203101,Miles Plumlee,2012,1610612737,26.0,82.5,83.75,84.75,105.5,40.5,146.0,34.0,139.5,252.0,11.4,9.25,9.0,15.0,10.64,3.36,2018
87,203078,Bradley Beal,2012,1610612764,3.0,75.25,76.75,80.0,100.0,39.0,139.0,33.0,133.0,202.0,6.0,8.5,9.0,8.0,10.95,3.28,2018
88,203107,Tomas Satoransky,2012,1610612764,32.0,78.5,79.5,79.25,100.0,,,,,201.0,5.2,8.5,9.5,,,,2018
89,203109,Jae Crowder,2012,1610612762,34.0,76.75,78.5,81.25,99.5,34.5,134.0,31.0,130.5,241.0,9.0,9.5,10.5,20.0,11.45,3.37,2018
90,203110,Draymond Green,2012,1610612744,35.0,77.75,79.5,85.25,105.0,33.0,138.0,28.0,133.0,236.0,11.3,9.0,9.5,9.0,11.01,3.4,2018
91,203112,Quincy Acy,2012,1610612756,37.0,78.5,79.75,86.75,106.5,37.0,143.5,32.0,138.5,224.0,7.1,9.5,11.0,13.0,10.48,3.28,2018
92,203114,Khris Middleton,2012,1610612749,39.0,78.75,80.25,82.75,103.0,31.0,134.0,28.0,131.0,216.0,7.8,9.0,9.0,4.0,11.45,3.47,2018
93,203079,Dion Waiters,2012,1610612748,4.0,74.5,76.0,79.25,98.0,,,,,221.0,8.5,8.5,9.5,,,,2018
94,203115,Will Barton,2012,1610612743,40.0,77.0,78.0,81.75,102.5,34.0,136.5,30.0,132.5,174.0,4.1,9.0,9.5,,12.5,3.6,2018
95,203118,Mike Scott,2012,1610612755,43.0,79.25,80.75,82.75,104.0,32.5,136.5,27.0,131.0,241.0,10.6,8.5,9.0,14.0,11.59,3.44,2018
96,203118,Mike Scott,2012,1610612746,43.0,79.25,80.75,82.75,104.0,32.5,136.5,27.0,131.0,241.0,10.6,8.5,9.0,14.0,11.59,3.44,2018
97,203121,Darius Miller,2012,1610612740,46.0,78.0,79.5,81.0,101.0,37.0,138.0,33.0,134.0,233.0,7.5,8.5,8.75,14.0,11.34,3.31,2018
98,203124,Kyle O'Quinn,2012,1610612754,49.0,80.5,82.0,88.75,106.5,31.5,138.0,31.5,138.0,241.0,8.0,9.5,10.0,,11.65,3.53,2018
99,203080,Thomas Robinson,2012,1610612737,5.0,79.75,80.75,87.25,106.0,35.5,141.5,28.5,134.5,244.0,5.0,9.75,10.5,15.0,11.96,3.17,2018
100,203130,Darius Johnson-Odom,2012,1610612750,55.0,73.5,75.0,79.0,96.0,41.5,137.5,33.5,129.5,212.0,7.0,8.75,8.75,17.0,10.76,3.21,2018
101,203081,Damian Lillard,2012,1610612757,6.0,73.75,74.75,79.75,95.5,39.5,135.0,34.5,130.0,189.0,5.9,8.75,9.75,13.0,11.15,3.34,2018
102,203084,Harrison Barnes,2012,1610612758,7.0,79.0,80.0,83.25,101.5,39.5,141.0,38.0,139.5,228.0,9.6,9.0,8.5,15.0,10.93,3.16,2018
103,203084,Harrison Barnes,2012,1610612742,7.0,79.0,80.0,83.25,101.5,39.5,141.0,38.0,139.5,228.0,9.6,9.0,8.5,15.0,10.93,3.16,2018
104,203082,Terrence Ross,2012,1610612753,8.0,78.0,79.0,79.25,100.5,37.5,138.0,31.0,131.5,197.0,3.2,8.75,10.25,2.0,11.78,3.28,2018
105,203083,Andre Drummond,2012,1610612765,9.0,81.75,83.75,90.25,109.5,33.5,143.0,31.5,141.0,279.0,7.5,9.5,9.5,10.0,10.83,3.39,2018
106,203210,JaMychal Green,2012,1610612746,,80.0,81.0,86.25,106.5,32.5,139.0,29.5,136.0,217.0,9.8,9.25,9.25,19.0,10.63,3.38,2018
107,203210,JaMychal Green,2012,1610612763,,80.0,81.0,86.25,106.5,32.5,139.0,29.5,136.0,217.0,9.8,9.25,9.25,19.0,10.63,3.38,2018
108,203159,Scott Machado,2012,1610612747,,73.0,74.0,76.0,94.5,32.5,127.0,27.0,121.5,206.0,5.8,8.5,9.5,17.0,11.26,3.3,2018
109,203487,Michael Carter-Williams,2013,1610612753,11.0,76.75,77.75,79.25,101.0,41.0,142.0,31.5,132.5,184.0,4.4,7.5,8.5,8.0,10.68,3.22,2018
110,203487,Michael Carter-Williams,2013,1610612745,11.0,76.75,77.75,79.25,101.0,41.0,142.0,31.5,132.5,184.0,4.4,7.5,8.5,8.0,10.68,3.22,2018
111,203500,Steven Adams,2013,1610612760,12.0,82.75,84.0,88.5,109.5,33.0,142.5,28.5,138.0,255.0,6.7,9.5,11.0,16.0,11.85,3.4,2018
112,203482,Kelly Olynyk,2013,1610612748,13.0,82.75,84.0,81.75,108.0,29.5,137.5,24.5,132.5,234.0,6.7,8.5,10.0,5.0,11.42,3.59,2018
113,203498,Shabazz Muhammad,2013,1610612749,14.0,76.75,78.25,83.0,104.5,37.0,141.5,29.5,134.0,222.0,9.0,9.0,10.0,10.0,10.99,3.32,2018
114,203506,Victor Oladipo,2013,1610612754,2.0,75.25,76.25,81.25,100.5,42.0,142.5,33.0,133.5,213.0,6.6,8.75,9.25,15.0,10.69,3.25,2018
115,203503,Tony Snell,2013,1610612749,20.0,78.0,79.25,83.5,105.5,36.5,142.0,30.0,135.5,198.0,4.9,9.0,9.5,7.0,10.36,3.25,2018
116,203476,Gorgui Dieng,2013,1610612750,21.0,81.75,82.75,87.5,111.5,,,,,230.0,5.4,9.0,10.0,,,,2018
117,203486,Mason Plumlee,2013,1610612743,22.0,83.25,84.5,83.0,108.0,36.0,144.0,30.5,138.5,238.0,6.2,9.75,9.5,14.0,10.89,3.29,2018
118,203524,Solomon Hill,2013,1610612740,23.0,77.5,79.0,81.0,103.0,37.5,140.5,29.5,132.5,226.0,7.6,9.0,10.5,14.0,10.77,3.19,2018
119,203493,Reggie Bullock,2013,1610612747,25.0,77.75,79.0,80.75,102.0,36.5,138.5,31.0,133.0,200.0,7.0,8.5,9.0,11.0,11.33,3.31,2018
120,203493,Reggie Bullock,2013,1610612765,25.0,77.75,79.0,80.75,102.0,36.5,138.5,31.0,133.0,200.0,7.0,8.5,9.0,11.0,11.33,3.31,2018
121,203460,Andre Roberson,2013,1610612760,26.0,78.25,79.0,83.0,104.5,36.5,141.0,30.0,134.5,206.0,7.1,8.75,9.5,10.0,11.36,3.34,2018
122,203497,Rudy Gobert,2013,1610612762,27.0,84.5,86.0,92.5,115.0,29.0,144.0,25.0,140.0,238.0,4.4,9.75,10.0,7.0,12.85,3.57,2018
123,203459,Allen Crabbe,2013,1610612751,31.0,77.25,78.25,83.25,103.5,36.0,139.5,30.5,134.0,197.0,4.7,8.25,8.5,10.0,10.67,3.32,2018
124,203477,Isaiah Canaan,2013,1610612749,34.0,71.0,72.0,76.5,94.5,40.5,135.0,33.0,127.5,188.0,5.9,8.25,9.5,16.0,10.98,3.22,2018
125,203477,Isaiah Canaan,2013,1610612750,34.0,71.0,72.0,76.5,94.5,40.5,135.0,33.0,127.5,188.0,5.9,8.25,9.5,16.0,10.98,3.22,2018
126,203477,Isaiah Canaan,2013,1610612756,34.0,71.0,72.0,76.5,94.5,40.5,135.0,33.0,127.5,188.0,5.9,8.25,9.5,16.0,10.98,3.22,2018
127,203469,Cody Zeller,2013,1610612766,4.0,82.75,84.25,82.75,106.0,37.5,143.5,35.5,141.5,230.0,4.8,8.5,10.5,17.0,10.82,3.15,2018
128,203488,Mike Muscala,2013,1610612747,44.0,82.25,83.5,85.0,108.0,33.5,141.5,28.0,136.0,230.0,6.8,8.5,9.0,5.0,11.76,3.44,2018
