player_name,salary
Ivica Zubac,"$1,544,951  "
Pascal Siakam,"$1,544,951  "
Willy Hernangomez,"$1,544,951  "
Cheick Diallo,"$1,544,951  "
Timothe Luwawu-Cabarrot,"$1,544,951  "
Wayne Selden,"$1,544,951  "
Quinn Cook,"$1,544,951  "
Damian Jones,"$1,544,951  "
Gerald Green,"$1,512,601  "
Noah Vonleh,"$1,512,601  "
Channing Frye,"$1,512,601  "
Jeff Green,"$1,512,601  "
David Nwaba,"$1,512,601  "
Vince Carter,"$1,512,601  "
Udonis Haslem,"$1,512,601  "
Dwyane Wade,"$1,512,601  "
Derrick Jones Jr.,"$1,512,601  "
Raymond Felton,"$1,512,601  "
Devin Harris,"$1,512,601  "
Quincy Pondexter,"$1,512,601  "
Isaiah Thomas,"$1,512,601  "
Treveon Graham,"$1,512,601  "
Luol Deng,"$1,512,601  "
Derrick Rose,"$1,512,601  "
Amir Johnson,"$1,512,601  "
Jose Calderon,"$1,512,601  "
Shelvin Mack,"$1,512,601  "
Zaza Pachulia,"$1,512,601  "
JaVale McGee,"$1,512,601  "
Ian Clark,"$1,512,601  "
Christian Wood,"$1,512,601  "
Jamal Crawford,"$1,512,601  "
Jonas Jerebko,"$1,512,601  "
Kevon Looney,"$1,512,601  "
Georges Niang,"$1,512,601  "
Sviatoslav Mykhailiuk,"$1,487,694  "
Mitchell Robinson,"$1,485,440  "
Damyean Dotson,"$1,378,242  "
Thomas Bryant,"$1,378,242  "
Abdel Nader,"$1,378,242  "
Frank Mason III,"$1,378,242  "
Maxi Kleber,"$1,378,242  "
Semi Ojeleye,"$1,378,242  "
Daniel Theis,"$1,378,242  "
Sterling Brown,"$1,378,242  "
Khem Birch,"$1,378,242  "
Wesley Iwundu,"$1,378,242  "
Sindarius Thornwell,"$1,378,242  "
Dwayne Bacon,"$1,378,242  "
Frank Jackson,"$1,378,242  "
Jordan Bell,"$1,378,242  "
Royce O'Neale,"$1,378,242  "
Dillon Brooks,"$1,378,242  "
Tyler Dorsey,"$1,378,242  "
