game_id,game_date_est,home_team_id,visitor_team_id,season,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,home_team_wins
21801224,2019-04-10,1610612755,1610612741,2018,125.0,0.5589999999999999,0.6,0.462,30.0,47.0,109.0,0.474,0.667,0.375,21.0,39.0,1
21801225,2019-04-10,1610612763,1610612744,2018,132.0,0.49,0.833,0.457,25.0,49.0,117.0,0.5,0.857,0.433,32.0,39.0,1
21801226,2019-04-10,1610612749,1610612760,2018,116.0,0.43,0.7140000000000001,0.326,27.0,53.0,127.0,0.485,0.615,0.426,40.0,53.0,0
21801227,2019-04-10,1610612759,1610612742,2018,105.0,0.466,0.833,0.333,22.0,53.0,94.0,0.407,0.75,0.297,27.0,42.0,1
21801228,2019-04-10,1610612743,1610612750,2018,99.0,0.448,0.647,0.303,23.0,53.0,95.0,0.429,0.667,0.406,24.0,41.0,1
21801229,2019-04-10,1610612746,1610612762,2018,143.0,0.509,0.767,0.429,34.0,52.0,137.0,0.443,0.879,0.4,31.0,57.0,1
21801230,2019-04-10,1610612757,1610612758,2018,136.0,0.5820000000000001,0.727,0.583,19.0,44.0,131.0,0.521,0.813,0.419,25.0,35.0,1
21801209,2019-04-09,1610612739,1610612766,2018,97.0,0.449,0.75,0.3670000000000001,24.0,41.0,124.0,0.5770000000000001,0.706,0.5,35.0,37.0,0
21801210,2019-04-09,1610612765,1610612763,2018,100.0,0.398,0.7140000000000001,0.294,16.0,40.0,93.0,0.478,0.81,0.417,19.0,43.0,1
21801211,2019-04-09,1610612764,1610612738,2018,110.0,0.423,0.778,0.359,28.0,58.0,116.0,0.455,0.478,0.341,27.0,50.0,0
21801212,2019-04-09,1610612748,1610612755,2018,122.0,0.529,0.7390000000000001,0.481,29.0,44.0,99.0,0.408,0.875,0.2,22.0,46.0,1
21801213,2019-04-09,1610612741,1610612752,2018,86.0,0.361,0.655,0.318,14.0,50.0,96.0,0.398,0.615,0.35,17.0,61.0,0
21801214,2019-04-09,1610612750,1610612761,2018,100.0,0.418,0.7859999999999999,0.31,26.0,35.0,120.0,0.523,0.706,0.4320000000000001,24.0,54.0,0
21801215,2019-04-09,1610612740,1610612744,2018,103.0,0.444,0.6,0.273,29.0,42.0,112.0,0.483,0.667,0.4,25.0,58.0,0
21801216,2019-04-09,1610612742,1610612756,2018,120.0,0.451,0.815,0.4,28.0,64.0,109.0,0.4320000000000001,0.7140000000000001,0.371,21.0,38.0,1
21801217,2019-04-09,1610612762,1610612743,2018,118.0,0.526,0.765,0.37,24.0,48.0,108.0,0.466,0.636,0.48,24.0,31.0,1
21801218,2019-04-09,1610612760,1610612745,2018,112.0,0.417,0.8,0.39,20.0,56.0,111.0,0.4320000000000001,0.85,0.34,18.0,42.0,1
21801219,2019-04-09,1610612747,1610612757,2018,101.0,0.426,0.647,0.345,29.0,51.0,104.0,0.411,0.8640000000000001,0.297,18.0,45.0,0
